screen_id,file,route_or_entry,role,surface_candidate,workflow,stage,purpose,primary_action,next_destination,exception_path,data_source,notes
SupplierDisputeResolutionScreen,src/components/SupplierDisputeResolutionScreen.tsx,shared,shared,OPERATIONS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),535 lines
SupplierInvoiceMatchingScreen,src/components/SupplierInvoiceMatchingScreen.tsx,shared,shared,FINANCE,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),739 lines
SupplierOnboarding,src/components/SupplierOnboarding.tsx,app-level,app-level,OPERATIONS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local)+localStorage,983 lines
SupplierOrderStatusTracking,src/components/SupplierOrderStatusTracking.tsx,shared|app-level,shared|app-level,OPERATIONS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),511 lines
SupplierPaymentAnalyticsScreen,src/components/SupplierPaymentAnalyticsScreen.tsx,shared,shared,FINANCE,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),438 lines
SupplierPaymentApprovalScreen,src/components/SupplierPaymentApprovalScreen.tsx,admin,admin,FINANCE,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),664 lines
SupplierPaymentHistoryScreen,src/components/SupplierPaymentHistoryScreen.tsx,shared,shared,FINANCE,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),361 lines
SupplierPaymentScheduleScreen,src/components/SupplierPaymentScheduleScreen.tsx,shared,shared,FINANCE,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),397 lines
SupplierPaymentTermsConfigScreen,src/components/SupplierPaymentTermsConfigScreen.tsx,shared,shared,FINANCE,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),555 lines
SupplierPerformanceScorecard,src/components/SupplierPerformanceScorecard.tsx,admin,admin,OPERATIONS,TBD-phase3,TBD-phase3,,,,,props-only/none-detected,1239 lines
SupplierRatingScorecard,src/components/SupplierRatingScorecard.tsx,shared|app-level,shared|app-level,OPERATIONS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),659 lines
SurveyorLiveTrackingDetailView,src/components/SurveyorLiveTrackingDetailView.tsx,admin,admin,CUSTOMERS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),934 lines
SurveyorOnboarding,src/components/SurveyorOnboarding.tsx,app-level,app-level,CUSTOMERS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local)+localStorage,894 lines
SystemHealthBotMonitoringScreen,src/components/SystemHealthBotMonitoringScreen.tsx,shared,shared,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),346 lines
TaxDeductionStatementScreen,src/components/TaxDeductionStatementScreen.tsx,shared,shared,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),360 lines
TaxGstComplianceScreen,src/components/TaxGstComplianceScreen.tsx,shared,shared,CONTROL,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),464 lines
TechnicianCheckInCheckOutScreen,src/components/TechnicianCheckInCheckOutScreen.tsx,shared,shared,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),297 lines
TechnicianHomeMyJobsScreen,src/components/TechnicianHomeMyJobsScreen.tsx,technician|shared,technician|shared,WORK,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),409 lines
TechnicianLiveTrackingDetailView,src/components/TechnicianLiveTrackingDetailView.tsx,admin,admin,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),1021 lines
TechnicianOnboarding,src/components/TechnicianOnboarding.tsx,app-level,app-level,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local)+localStorage,920 lines
TechnicianTeamCoordinationScreen,src/components/TechnicianTeamCoordinationScreen.tsx,shared,shared,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),295 lines
TrainingComplianceTrackerScreen,src/components/TrainingComplianceTrackerScreen.tsx,shared,shared,CONTROL,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),423 lines
TrainingFeedbackScreen,src/components/TrainingFeedbackScreen.tsx,shared,shared,CUSTOMERS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),746 lines
TrainingModuleLibraryScreen,src/components/TrainingModuleLibraryScreen.tsx,shared,shared,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),612 lines
UserRolePermissionManagementScreen,src/components/UserRolePermissionManagementScreen.tsx,shared,shared,CONTROL,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),582 lines
VideoInteractiveLessonPlayerScreen,src/components/VideoInteractiveLessonPlayerScreen.tsx,shared,shared,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),589 lines
WarrantyAmcRegistrationScreen,src/components/WarrantyAmcRegistrationScreen.tsx,shared,shared,OPERATIONS,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),677 lines
WhatsAppBusinessChatConsole,src/components/WhatsAppBusinessChatConsole.tsx,admin,admin,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,localStorage,913 lines
WorkerPerformanceLeaderboard,src/components/WorkerPerformanceLeaderboard.tsx,admin,admin,CUSTOMERS,TBD-phase3,TBD-phase3,,,,,props-only/none-detected,1274 lines
WorkflowTriggerBuilderScreen,src/components/WorkflowTriggerBuilderScreen.tsx,shared,shared,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),512 lines
